gameNum,player,points,s1v1,s1r1,s1v2,s1r2,s1v3,s1r3,s1tot,s2v1,s2r1,s2v2,s2r2,s2v3,s2r3,s2tot,stot
48,1,11,11.11,0.3675,13.89,0.3233,8.33,0.3233,11.266651,13.89,0.31,8.33,0.31,5.56,0.3233,8.685748,19.952399
48,2,9,11.11,0.31,13.89,0.3675,11.11,0.3675,12.6316,13.89,0.3675,5.56,0.3233,5.56,0.295,8.542323,21.173923
48,3,6,11.11,0.3233,8.33,0.3233,5.56,0.3675,8.328252,11.11,0.31,13.89,0.31,8.33,0.295,10.20735,18.535602
48,4,7,8.33,0.31,11.11,0.31,5.56,0.3675,8.0697,13.89,0.295,11.11,0.3233,2.78,0.295,8.509513,16.579213
49,1,4,13.89,0.3233,11.11,0.295,5.56,0.3233,9.565635,13.89,0.3233,5.56,0.3233,5.56,0.31,8.011785,17.57742
49,2,10,11.11,0.3233,13.89,0.3233,11.11,0.3675,12.165425,11.11,0.295,13.89,0.31,8.33,0.31,10.16565,22.331075
49,3,4,13.89,0.3675,8.33,0.295,5.56,0.3233,9.359473,11.11,0.3675,8.33,0.3675,0,0.3675,7.1442,16.503673
49,4,5,13.89,0.31,8.33,0.3675,5.56,0.3233,9.164723,8.33,0.295,11.11,0.3233,5.56,0.31,7.772813,16.937536
50,1,5,13.89,0.3233,11.11,0.3675,8.33,0.295,11.030912,11.11,0.3233,13.89,0.3233,5.56,0.3233,9.880048,20.91096
50,2,10,13.89,0.295,8.33,0.3233,5.56,0.3675,8.833939,8.33,0.31,11.11,0.3233,5.56,0.3233,7.971711,16.80565
50,3,4,11.11,0.3233,13.89,0.295,8.33,0.295,10.146763,11.11,0.31,11.11,0.3233,2.78,0.31,7.897763,18.044526
50,4,8,5.56,0.3675,11.11,0.3233,8.33,0.31,8.217463,5.56,0.295,8.33,0.31,11.11,0.3233,7.814363,16.031826
