gameNum,player,points,won,s1v1,s1r1,s1tile1,s1v2,s1r2,s1tile2,s1v3,s1r3,s1tile3,s1tot,s2v1,s2r1,s2tile1,s2v2,s2r2,s2tile2,s2v3,s2r3,s2tile3,s2tot,stot
7,3,4,0,11.11,0.3233,3.591863,13.89,0.31,4.3059,11.11,0.3675,4.082925,11.980688,13.89,0.3233,4.490637,8.33,0.3233,2.693089,5.56,0.3675,2.0433,9.227026,21.207714
7,4,4,0,13.89,0.31,4.3059,5.56,0.3675,2.0433,5.56,0.295,1.6402,7.9894,11.11,0.31,3.4441,13.89,0.3233,4.490637,8.33,0.31,2.5823,10.517037,18.506437
8,1,8,0,8.33,0.295,2.45735,13.89,0.3233,4.490637,11.11,0.3675,4.082925,11.030912,13.89,0.3233,4.490637,8.33,0.295,2.45735,5.56,0.31,1.7236,8.671587,19.702499
8,2,11,1,11.11,0.3233,3.591863,13.89,0.31,4.3059,11.11,0.3675,4.082925,11.980688,8.33,0.295,2.45735,11.11,0.3233,3.591863,5.56,0.31,1.7236,7.772813,19.753501
8,3,7,0,11.11,0.3233,3.591863,13.89,0.3233,4.490637,8.33,0.3675,3.061275,11.143775,8.33,0.3233,2.693089,5.56,0.295,1.6402,0,0.3233,0,4.333289,15.477064
8,4,6,0,11.11,0.3233,3.591863,11.11,0.3675,4.082925,8.33,0.31,2.5823,10.257088,13.89,0.3675,5.104575,8.33,0.3233,2.693089,5.56,0.295,1.6402,9.437864,19.694952
9,1,6,0,13.89,0.3233,4.490637,8.33,0.295,2.45735,5.56,0.3675,2.0433,8.991287,11.11,0.3675,4.082925,8.33,0.295,2.45735,0,0,0,6.540275,15.531562
9,2,9,0,8.33,0.3233,2.693089,13.89,0.295,4.09755,8.33,0.31,2.5823,9.372939,13.89,0.3233,4.490637,8.33,0.295,2.45735,5.56,0.3233,1.797548,8.745535,18.118474
9,3,9,0,13.89,0.31,4.3059,11.11,0.295,3.27745,5.56,0.3675,2.0433,9.62665,11.11,0.3233,3.591863,11.11,0.3233,3.591863,8.33,0.31,2.5823,9.766026,19.392676
9,4,10,1,11.11,0.3233,3.591863,13.89,0.3233,4.490637,5.56,0.31,1.7236,9.8061,11.11,0.295,3.27745,8.33,0.295,2.45735,2.78,0.3675,1.02165,6.75645,16.56255
10,1,9,0,11.11,0.3675,4.082925,13.89,0.3233,4.490637,8.33,0.31,2.5823,11.155862,8.33,0.31,2.5823,11.11,0.295,3.27745,5.56,0.295,1.6402,7.49995,18.655812
10,2,9,0,13.89,0.3233,4.490637,11.11,0.295,3.27745,2.78,0.3233,0.898774,8.666861,13.89,0.3233,4.490637,11.11,0.3675,4.082925,2.78,0.3675,1.02165,9.595212,18.262073
10,3,10,1,13.89,0.3233,4.490637,8.33,0.31,2.5823,5.56,0.31,1.7236,8.796537,11.11,0.3675,4.082925,13.89,0.3233,4.490637,5.56,0.295,1.6402,10.213762,19.010299
10,4,9,0,11.11,0.3233,3.591863,11.11,0.295,3.27745,8.33,0.295,2.45735,9.326663,13.89,0.3233,4.490637,8.33,0.3675,3.061275,5.56,0.31,1.7236,9.275512,18.602175
11,1,6,0,11.11,0.3233,3.591863,13.89,0.3675,5.104575,8.33,0.295,2.45735,11.153788,8.33,0.31,2.5823,11.11,0.3233,3.591863,5.56,0.31,1.7236,7.897763,19.051551
11,2,5,0,13.89,0.3675,5.104575,5.56,0.31,1.7236,5.56,0.3233,1.797548,8.625723,13.89,0.3675,5.104575,8.33,0.3233,2.693089,5.56,0.31,1.7236,9.521264,18.146987
11,3,10,1,13.89,0.295,4.09755,11.11,0.3233,3.591863,5.56,0.295,1.6402,9.329613,11.11,0.3233,3.591863,11.11,0.3675,4.082925,8.33,0.31,2.5823,10.257088,19.586701
