gameNum,player,points,s1v1,s1r1,s1v2,s1r2,s1v3,s1r3,s1tot,s2v1,s2r1,s2v2,s2r2,s2v3,s2r3,set2tot
16,4,7,8,0.3675,4,0.31,3,0.3675,1,4,0.295,6,0.3233,9,0.3233,1
17,1,6,4,0.31,6,0.3233,11,0.3233,1,6,0.3675,2,0.3675,0,0.3675,1
17,2,7,5,0.3675,6,0.3233,11,0.295,1,5,0.31,10,0.3233,2,0.3675,1
17,3,5,4,0.31,8,0.295,10,0.3675,1,6,0.3675,9,0.3233,3,0.3233,1
17,4,10,5,0.3675,9,0.31,10,0.3675,1,9,0.3233,10,0.3233,11,0.295,1
18,1,6,4,0.3675,8,0.31,10,0.3233,1,9,0.31,10,0.3233,2,0.3233,1
18,2,9,5,0.3233,8,0.3233,10,0.3233,1,6,0.31,3,0.3675,11,0.295,1
18,3,6,8,0.3233,4,0.3675,0,0.31,1,5,0.295,6,0.31,12,0.31,1
18,4,10,6,0.295,9,0.31,3,0.3675,1,5,0.295,9,0.3233,10,0.3233,1
19,1,10,5,0.3233,9,0.3675,10,0.3675,1,3,0.3233,10,0.295,11,0.3233,1
19,2,4,5,0.3233,8,0.31,10,0.295,1,4,0.31,9,0.3675,11,0.3233,1
19,3,5,6,0.295,9,0.3675,3,0.3233,1,8,0.31,4,0.295,3,0.3233,1
19,4,8,4,0.31,8,0.3675,10,0.3675,1,5,0.3233,6,0.31,11,0.3233,1
20,1,6,4,0.3675,8,0.31,10,0.3233,1,3,0.3675,10,0.295,11,0.31,1
20,2,10,6,0.295,9,0.3233,3,0.3233,1,5,0.3675,6,0.31,11,0.31,1
20,3,7,8,0.295,4,0.3233,3,0.3675,1,9,0.3233,10,0.295,2,0.3233,1
20,4,6,5,0.3675,8,0.295,10,0.295,1,5,0.3675,9,0.3233,10,0.3233,1
21,1,8,5,0.3675,9,0.3233,10,0.3675,1,3,0.31,9,0.3233,11,0.3233,1
21,2,7,8,0.295,10,0.295,3,0.31,1,6,0.3233,2,0.31,0,0,1
21,3,10,5,0.3233,9,0.3233,10,0.295,1,5,0.3675,6,0.3675,11,0.3233,1
21,4,6,6,0.3675,4,0.295,3,0.31,1,8,0.3233,4,0.3675,3,0.31,1
22,1,9,8,0.3233,4,0.295,0,0,1,5,0.295,9,0.3675,10,0.31,1
22,2,10,5,0.3233,8,0.3675,10,0.3233,1,6,0.31,3,0.31,12,0.295,1
22,3,4,5,0.3233,6,0.31,11,0.3233,1,8,0.3233,10,0.31,0,0.3233,1
22,4,6,6,0.3233,4,0.3675,3,0.3675,1,6,0.31,9,0.295,10,0.3233,1
23,1,4,5,0.3233,6,0.3233,11,0.295,1,5,0.3233,0,0.3233,0,0,1
23,2,7,5,0.3233,8,0.3233,10,0.3233,1,4,0.295,9,0.3675,11,0.295,1
23,3,10,5,0.3233,9,0.295,10,0.3675,1,8,0.3675,4,0.295,3,0.31,1
23,4,6,6,0.31,9,0.3675,3,0.31,1,3,0.3233,4,0.31,11,0.295,1
24,1,10,8,0.3233,10,0.3233,3,0.31,1,3,0.31,9,0.295,11,0.31,1
24,2,7,9,0.295,4,0.3233,2,0.3675,1,6,0.3233,4,0.3233,11,0.295,1
24,3,9,6,0.3675,4,0.3233,3,0.3233,1,5,0.295,8,0.3675,10,0.31,1
24,4,6,4,0.3233,5,0.295,11,0.31,1,5,0.3675,9,0.295,10,0.3233,1
25,1,7,5,0.295,8,0.3675,10,0.3233,1,4,0.31,9,0.3233,2,0.295,1
25,2,7,6,0.3675,4,0.31,3,0.3675,1,8,0.295,10,0.3233,0,0,1
25,3,10,6,0.31,9,0.295,10,0.3233,1,8,0.3675,3,0.3675,0,0,1
25,4,7,5,0.3233,9,0.3233,10,0.3233,1,5,0.295,6,0.31,11,0.3233,1
26,1,10,6,0.3233,9,0.3233,3,0.295,1,8,0.3675,4,0.3233,3,0.31,1
26,2,7,5,0.31,6,0.3233,9,0.3675,1,5,0.295,8,0.3675,10,0.295,1
26,3,3,9,0.3233,10,0.295,11,0.3675,1,6,0.3233,11,0.3233,12,0.3233,1
26,4,4,5,0.31,8,0.31,10,0.3675,1,6,0.3233,2,0.295,0,0.31,1
27,1,7,6,0.3233,9,0.3675,3,0.3233,1,4,0.31,9,0.3675,11,0.3233,1
27,2,7,6,0.3233,11,0.3675,3,0.295,1,5,0.31,8,0.295,10,0.3233,1
27,3,10,4,0.31,8,0.3675,10,0.31,1,5,0.3233,6,0.3233,11,0.3233,1
27,4,4,9,0.295,10,0.31,0,0.31,1,8,0.295,4,0.3675,3,0.295,1
28,1,6,5,0.3233,8,0.3675,10,0.31,1,9,0.295,10,0.3233,0,20.295,1
28,2,10,5,0.31,6,0.3233,9,0.295,1,8,0.3675,4,0.295,3,0.3233,1
28,3,5,5,0.31,8,0.31,10,0.3233,1,6,0.3233,11,0.3675,12,0.295,1
28,4,5,6,0.31,2,0.295,0,0.3675,1,4,0.3675,9,0.3675,11,0.3233,1
29,1,4,8,0.3233,4,0.3233,3,0.31,1,9,0.3675,12,0.3675,0,0.3233,1
29,2,4,5,0.31,9,0.3675,10,0.3233,1,4,0.295,9,0.295,11,0.295,1
29,3,10,8,0.3233,10,0.3675,0,0.31,1,5,0.31,6,0.31,11,0.295,1
29,4,5,6,0.3675,9,0.295,3,0.3233,1,4,0.295,8,0.31,10,0.3233,1
30,1,9,4,0.3233,8,0.3675,10,0.3675,1,9,0.3233,10,0.295,11,0.31,1
30,2,7,5,0.295,9,0.3233,10,0.3675,1,6,0.31,3,0.295,11,0.31,1
30,3,10,4,0.3233,9,0.3233,3,0.31,1,5,0.295,6,0.31,12,0.3675,1
30,4,7,6,0.31,3,0.31,0,20.295,1,8,0.3233,4,0.295,3,0.295,1
31,1,10,5,0.31,6,0.3233,9,0.31,1,5,0.3675,8,0.3675,10,0.3675,1
31,2,8,8,0.3675,4,0.3233,3,0.295,1,6,0.3233,9,0.3233,3,0.3233,1
31,3,6,4,0.3233,8,0.31,10,0.295,1,9,0.3233,10,0.3675,2,0.31,1
31,4,5,6,0.3233,3,0.295,11,0.3675,1,4,0.3233,9,0.3233,11,0.3675,1
32,1,7,6,0.3233,9,0.3233,10,0.3675,1,4,0.3675,9,0.31,11,0.31,1
32,2,10,5,0.295,6,0.3233,11,0.31,1,6,0.295,4,0.3675,3,0.31,1
32,3,7,8,0.3233,4,0.3675,3,0.3233,1,5,0.3675,9,0.31,10,0.295,1
32,4,6,5,0.295,8,0.31,10,0.3675,1,8,0.3233,10,0.295,0,0.3675,1
33,1,6,6,0.3233,9,0.3675,10,0.295,1,8,0.3233,4,0.295,0,0.3233,1
33,2,6,5,0.295,9,0.3233,10,0.31,1,6,0.3233,3,0.31,12,0.3675,1
33,3,6,5,0.3675,8,0.295,10,0.295,1,6,0.3233,4,0.31,3,0.31,1
33,4,10,8,0.3233,10,0.31,0,0,1,5,0.3675,6,0.3233,11,0.3233,1
34,1,5,6,0.3233,4,0.295,3,0.3233,1,4,0.3675,11,0.31,0,0,1
34,2,6,6,0.3233,9,0.3675,10,0.31,1,5,0.31,10,0.31,9,0.3675,1
34,3,7,5,0.295,6,0.3233,11,0.3233,1,8,0.3675,10,0.31,3,0.295,1
34,4,10,5,0.295,8,0.3233,10,0.31,1,4,0.295,9,0.3675,11,0.3233,1
35,1,5,5,0.295,9,0.3233,10,0.31,1,6,0.295,3,0.3233,11,0.31,1
35,2,10,5,0.3233,8,0.3233,10,0.31,1,6,0.3675,9,0.3675,3,0.3675,1
35,3,7,8,0.3233,4,0.295,3,0.3233,1,9,0.3675,10,0.31,11,0.3675,1
35,4,8,4,0.3233,8,0.3233,10,0.31,1,5,0.295,6,0.295,11,0.3675,1
36,1,4,5,0.3233,6,0.31,9,0.3675,1,6,0.31,3,0.3675,11,0.295,1
36,2,10,5,0.3233,8,0.295,4,0.3675,1,8,0.3233,4,0.295,3,0.3675,1
36,3,6,5,0.3233,8,0.3233,10,0.295,1,9,0.3675,10,0.3233,0,0.3233,1
36,4,5,6,0.3233,9,0.31,3,0.31,1,4,0.3675,9,0.31,11,0.3233,1
37,1,8,5,0.3233,9,0.3675,10,0.31,1,3,0.3233,9,0.3675,11,0.3233,1
37,2,9,5,0.295,9,0.3233,10,0.3675,1,5,0.295,6,0.3233,12,0.31,1
37,3,10,6,0.3233,4,0.31,3,0.3233,1,4,0.3675,5,0.295,11,0.3233,1
37,4,8,8,0.3233,10,0.31,0,0,1,4,0.3675,8,0.295,10,0.3675,1
38,1,6,5,0.3233,9,0.295,10,0.31,1,8,0.31,4,0.3675,3,0.3233,1
38,2,9,5,0.295,8,0.31,10,0.3675,1,8,0.3675,4,0.3675,3,0.3233,1
38,3,11,5,0.295,6,0.295,9,0.3233,1,6,0.31,2,0.3233,0,20.295,1
38,4,7,6,0.31,9,0.295,4,0.3675,1,6,0.295,3,0.3233,11,0.3233,1
39,1,7,5,0.3675,8,0.3233,10,0.3233,1,6,0.3233,2,0.31,0,0,1
39,2,10,5,0.3675,6,0.3233,9,0.31,1,8,0.295,4,0.31,3,0.3675,1
39,3,3,4,0.3675,9,0.3233,11,0.3675,1,6,0.3233,3,0.3675,11,0.295,1
39,4,5,6,0.3233,9,0.3233,3,0.31,1,5,0.3233,8,0.295,10,0.295,1
40,1,6,5,0.31,9,0.3233,10,0.295,1,6,0.3233,2,0.31,0,0.3233,1
40,2,7,6,0.3233,4,0.3233,3,0.295,1,6,0.3675,9,0.3675,10,0.3233,1
40,3,6,9,0.3233,4,0.3233,2,0.31,1,3,0.3675,9,0.3233,11,0.295,1
40,4,10,8,0.3675,4,0.3233,3,0.3675,1,5,0.295,8,0.3233,10,0.3233,1
41,1,6,6,0.295,9,0.295,3,0.3233,1,6,0.3675,3,0.295,11,0.3233,1
41,2,4,5,0.3233,6,0.3675,9,0.31,1,4,0.295,5,0.3233,11,0.3233,1
41,3,10,9,0.31,10,0.3233,0,0.31,1,5,0.31,8,0.31,10,0.3675,1
41,4,8,5,0.3233,10,0.3233,0,0,1,8,0.3675,4,0.295,3,0.3233,1
42,1,7,5,0.295,6,0.3675,11,0.3233,1,9,0.3233,4,0.31,2,0.31,1
